122,买卖股票的最佳时机II,1712,66.3%,简单
55,跳跃游戏,1534,41.6%,中等
392,判断子序列,1157,50.8%,简单
605,种花问题,869,34.2%,简单
45,跳跃游戏II,810,38.3%,困难
455,分发饼干,797,57.8%,简单
1046,最后一块石头的重量,758,65.9%,简单
763,划分字母区间,704,76.6%,中等
134,加油站,694,56.9%,中等
860,柠檬水找零,578,58.2%,简单
376,摆动序列,557,45.1%,中等
406,根据身高重建队列,529,72.0%,中等
452,用最少数量的箭引爆气球,529,51.0%,中等
135,分发糖果,524,48.2%,困难
1221,分割平衡字符串,513,79.1%,简单
435,无重叠区间,511,49.1%,中等
738,单调递增的数字,501,50.2%,中等
714,买卖股票的最佳时机含手续费,435,69.8%,中等
767,重构字符串,428,47.3%,中等
402,移掉K位数字,427,32.8%,中等
44,通配符匹配,389,31.7%,困难
861,翻转矩阵后的得分,389,81.0%,中等
1111,有效括号的嵌套深度,376,77.5%,中等
621,任务调度器,365,55.5%,中等
316,去除重复字母,364,47.6%,中等
842,将数组拆分成斐波那契序列,288,49.4%,中等
649,Dota2参议院,284,48.1%,中等
1403,非递增顺序的最小子序列,280,69.2%,简单
1217,玩筹码,265,69.1%,简单
1518,换酒问题,258,67.6%,简单
1005,K次取反后最大化的数组和,239,53.5%,简单
659,分割数组为连续子序列,226,54.3%,中等
1094,拼车,219,60.6%,中等
253,会议室II,206,47.2%,中等
921,使括号有效的最少添加,206,73.1%,中等
