104,二叉树的最大深度,1680,75.6%,简单
102,二叉树的层序遍历,1623,64.0%,中等
101,对称二叉树,1468,53.4%,简单
94,二叉树的中序遍历,1369,74.7%,中等
100,相同的树,1257,60.2%,简单
98,验证二叉搜索树,1242,33.4%,中等
226,翻转二叉树,1199,77.9%,简单
111,二叉树的最小深度,1198,46.4%,简单
144,二叉树的前序遍历,1129,69.0%,中等
103,二叉树的锯齿形层序遍历,1126,57.0%,中等
112,路径总和,1098,51.7%,简单
199,二叉树的右视图,1060,64.8%,中等
145,二叉树的后序遍历,985,74.0%,中等
110,平衡二叉树,983,55.1%,简单
107,二叉树的层序遍历II,977,68.0%,简单
剑指Offer07,重建二叉树,891,68.7%,中等
105,从前序与中序遍历序列构造二叉树,889,68.9%,中等
543,二叉树的直径,885,52.1%,简单
96,不同的二叉搜索树,849,69.2%,中等
236,二叉树的最近公共祖先,842,66.2%,中等
108,将有序数组转换为二叉搜索树,838,74.6%,简单
113,路径总和II,828,61.4%,中等
114,二叉树展开为链表,815,71.7%,中等
129,求根到叶子节点数字之和,814,66.5%,中等
剑指Offer27,二叉树的镜像,806,78.8%,简单
617,合并二叉树,785,78.7%,简单
剑指Offer55-I,二叉树的深度,779,78.7%,简单
404,左叶子之和,770,56.5%,简单
116,填充每个节点的下一个右侧节点指针,725,68.6%,中等
257,二叉树的所有路径,705,66.5%,简单
235,二叉搜索树的最近公共祖先,690,66.0%,简单
剑指Offer54,二叉搜索树的第k大节点,690,74.3%,简单
124,二叉树中的最大路径和,675,43.2%,困难
剑指Offer32-II,从上到下打印二叉树II,627,68.6%,简单
剑指Offer26,树的子结构,624,46.0%,中等
222,完全二叉树的节点个数,621,76.7%,中等
337,打家劫舍III,621,61.0%,中等
剑指Offer32-III,从上到下打印二叉树III,597,58.6%,中等
剑指Offer28,对称的二叉树,596,57.9%,简单
106,从中序与后序遍历序列构造二叉树,565,71.0%,中等
剑指Offer55-II,平衡二叉树,550,58.0%,简单
117,填充每个节点的下一个右侧节点指针II,545,59.3%,中等
437,路径总和III,543,56.6%,中等
剑指Offer32-I,从上到下打印二叉树,536,64.7%,中等
538,把二叉搜索树转换为累加树,527,65.3%,中等
230,二叉搜索树中第K小的元素,517,72.8%,中等
572,另一个树的子树,516,47.2%,简单
297,二叉树的序列化与反序列化,503,53.5%,困难
剑指Offer34,二叉树中和为某一值的路径,469,57.6%,中等
637,二叉树的层平均值,457,68.8%,简单
530,二叉搜索树的最小绝对差,451,60.8%,简单
684,冗余连接,445,66.2%,中等
95,不同的二叉搜索树II,444,66.9%,中等
剑指Offer68-II,二叉树的最近公共祖先,389,69.3%,简单
501,二叉搜索树中的众数,388,49.9%,简单
剑指Offer68-I,二叉搜索树的最近公共祖先,385,69.0%,简单
99,恢复二叉搜索树,382,62.0%,困难
1028,从先序遍历还原二叉树,380,73.5%,困难
589,N叉树的前序遍历,378,74.1%,简单
701,二叉搜索树中的插入操作,366,72.1%,中等
559,N叉树的最大深度,351,71.2%,简单
450,删除二叉搜索树中的节点,347,45.7%,中等
面试题04.03,特定深度节点链表,341,80.4%,中等
654,最大二叉树,335,81.5%,中等
938,二叉搜索树的范围和,318,78.0%,简单
513,找树左下角的值,309,72.2%,中等
173,二叉搜索树迭代器,306,75.7%,中等
993,二叉树的堂兄弟节点,298,52.2%,简单
590,N叉树的后序遍历,292,75.2%,简单
671,二叉树中第二小的节点,291,46.5%,简单
面试题04.04,检查平衡性,288,57.2%,简单
429,N叉树的层序遍历,286,67.8%,中等
面试题04.02,最小高度树,283,79.3%,简单
700,二叉搜索树中的搜索,275,75.1%,简单
965,单值二叉树,268,68.5%,简单
897,递增顺序查找树,265,72.8%,简单
968,监控二叉树,263,48.9%,困难
515,在每个树行中找最大值,262,63.4%,中等
872,叶子相似的树,252,62.7%,简单
剑指Offer37,序列化二叉树,252,52.6%,困难
653,两数之和IV-输入BST,236,57.7%,简单
814,二叉树剪枝,236,70.8%,中等
685,冗余连接II,223,44.4%,困难
783,二叉搜索树节点最小距离,223,56.1%,简单
面试题04.05,合法二叉搜索树,223,34.1%,中等
1038,把二叉搜索树转换为累加树,217,78.1%,中等
563,二叉树的坡度,201,58.2%,简单
606,根据二叉树创建字符串,200,55.6%,简单
